emp_no,dept_no,from_date,to_date,emp_no,birth_date,first_name,last_name,gender,hire_date,dept_no,dept_name
110022,d001,1995-12-30,1998-12-29,110022,1956-09-12,Margareta,Markovitch,M,1995-12-30,d001,Marketing
110039,d001,1997-04-09,9999-01-01,110039,1963-06-21,Vishwani,Minakawa,M,1997-04-09,d001,Marketing
110040,d001,1991-12-31,1997-12-29,110040,1961-05-23,Rildo,Georg,M,1991-12-31,d001,Marketing
110041,d001,1993-08-02,1998-08-01,110041,1958-07-09,Laurentiu,Jervis,F,1993-08-02,d001,Marketing
110042,d001,1993-12-30,2000-12-28,110042,1963-01-09,Adit,Butner,M,1993-12-30,d001,Marketing
110043,d001,1992-11-20,1997-11-19,110043,1956-12-12,Filipe,Mungall,F,1992-11-20,d001,Marketing
110044,d001,1995-10-13,2000-10-11,110044,1958-05-05,Shen,Colorni,F,1995-10-13,d001,Marketing
110045,d001,1995-02-04,9999-01-01,110045,1958-07-13,Alper,Luit,M,1995-02-04,d001,Marketing
110046,d001,1996-12-29,2002-12-28,110046,1963-08-21,Denis,Varman,F,1996-12-29,d001,Marketing
110047,d001,1993-01-06,1999-01-05,110047,1963-08-14,Zhigen,Birdsall,F,1993-01-06,d001,Marketing
110048,d001,1994-08-10,1999-08-09,110048,1955-07-18,LiMin,Schonegge,M,1994-08-10,d001,Marketing
110049,d001,1991-06-09,1999-06-07,110049,1961-04-06,Hatsukazu,Salvesen,M,1991-06-09,d001,Marketing
110050,d001,1998-05-29,2000-05-27,110050,1951-04-06,Chikara,Lally,F,1998-05-29,d001,Marketing
110051,d001,1999-05-29,2000-05-27,110051,1962-07-13,Bogdan,Bamford,M,1999-05-29,d001,Marketing
110085,d002,1991-12-31,1998-12-29,110085,1959-10-28,Ebru,Alpin,M,1991-12-31,d002,Finance
110114,d002,1991-01-13,9999-01-01,110114,1957-03-28,Isamu,Legleitner,F,1991-01-13,d002,Finance
110115,d002,1993-12-30,1999-12-29,110115,1958-07-27,Rafail,Beutelspacher,F,1993-12-30,d002,Finance
110116,d002,1995-08-02,2000-07-31,110116,1956-01-18,Taegyun,Seghrouchni,F,1995-08-02,d002,Finance
110117,d002,1995-12-30,2002-12-28,110117,1964-12-16,Salvador,Montresor,M,1995-12-30,d002,Finance
110118,d002,1994-11-20,1999-11-19,110118,1954-12-26,Charlene,Miculan,M,1994-11-20,d002,Finance
110119,d002,1997-10-12,2002-10-11,110119,1955-07-01,Ronghao,Remmele,M,1997-10-12,d002,Finance
110120,d002,1997-02-03,9999-01-01,110120,1959-06-26,Phillip,Penz,M,1997-02-03,d002,Finance
110121,d002,1998-12-29,2004-12-27,110121,1952-08-09,Kensyu,Thorelli,M,1998-12-29,d002,Finance
110122,d002,1995-01-06,2001-01-04,110122,1965-01-27,Slavian,Cincotta,F,1995-01-06,d002,Finance
110123,d002,1996-08-09,2001-08-08,110123,1961-03-28,Shahar,Gronowski,M,1996-08-09,d002,Finance
110124,d002,1993-06-08,2001-06-06,110124,1955-04-07,Rildo,Cronan,M,1993-06-08,d002,Finance
110125,d002,1993-12-30,2000-12-28,110125,1956-08-27,Isamu,Besancenot,M,1993-12-30,d002,Finance
110126,d002,1999-05-29,2000-05-27,110126,1957-01-12,Gadiel,Koprowski,M,1999-05-29,d002,Finance
110127,d002,2000-05-29,9999-01-01,110127,1957-01-24,Tse,Tsunoo,M,2000-05-29,d002,Finance
110183,d003,1990-12-31,1996-12-29,110183,1953-06-24,Shirish,Ossenbruggen,F,1990-12-31,d003,"Human Resources"
110228,d003,1992-08-02,1997-08-01,110228,1958-12-02,Karsten,Sigstam,F,1992-08-02,d003,"Human Resources"
110229,d003,1994-11-25,2001-11-23,110229,1960-08-25,Mack,Madeira,M,1994-11-25,d003,"Human Resources"
110230,d003,1993-10-16,1998-10-15,110230,1960-06-27,Gererd,Glowinski,M,1993-10-16,d003,"Human Resources"
110231,d003,1996-09-07,2001-09-06,110231,1953-03-25,Faiza,Limongiello,M,1996-09-07,d003,"Human Resources"
